iso_code,total_deaths_per_million
ABW,"1,340,732"
AFG,"128,719"
AGO,"33,695"
AIA,"280,720"
ALB,"851,685"
AND,"1,553,348"
ARE,"178,663"
ARG,"2,034,903"
ARM,"2,001,724"
ASM,"231,764"
ATG,"829,725"
AUS,"196,082"
AUT,"1,486,212"
AZE,"587,063"
BDI,744
BEL,"2,166,618"
BEN,"8,717"
BES,"753,585"
BFA,"10,603"
BGD,"114,650"
BGR,"3,279,733"
BHR,"706,525"
BHS,"1,177,902"
BIH,"3,115,036"
BLM,0
BLR,"444,022"
BLZ,"1,055,716"
BMU,"1,192,237"
BOL,"1,308,689"
BRA,"2,207,994"
BRB,"794,944"
BRN,"122,796"
BTN,"10,067"
BWA,"620,517"
CAF,"16,329"
CAN,"758,292"
CHE,"1,141,482"
CHL,"1,892,548"
CHN,"11,114"
CIV,"17,917"
CMR,"47,921"
COD,"10,254"
COG,"41,193"
COK,"20,138"
COL,"1,891,703"
COM,"141,022"
CPV,"463,794"
CRI,"1,055,495"
CUB,"427,859"
CUW,"815,737"
CYM,"192,005"
CYP,"676,033"
CZE,"2,643,396"
DEU,"1,174,515"
DJI,"125,566"
DMA,"428,392"
DNK,"640,782"
DOM,"314,372"
DZA,"106,517"
ECU,"1,435,026"
EGY,"151,613"
ERI,"14,225"
ESH,0
ESP,"1,784,199"
EST,"1,146,342"
ETH,"39,790"
FIN,"503,786"
FJI,"485,653"
FLK,0
FRA,"1,593,897"
FRO,"229,625"
FSM,"84,114"
GAB,"82,509"
GBR,"2,001,228"
GEO,"2,495,570"
GGY,"491,086"
GHA,"28,453"
GIB,"2,351,225"
GIN,"20,404"
GLP,"1,427,744"
GMB,"91,964"
GNB,"52,958"
GNQ,"81,762"
GRC,"1,672,526"
GRD,"913,111"
GRL,"139,200"
GTM,"674,691"
GUF,0
GUM,"1,313,703"
GUY,"896,235"
HKG,0
HND,"722,806"
HRV,"2,421,254"
HTI,"48,184"
HUN,"2,950,943"
IDN,"354,853"
IMN,"807,698"
IND,"251,138"
IRL,"1,083,201"
IRN,"1,108,693"
IRQ,"420,524"
ISL,"216,839"
ISR,"781,450"
ITA,"2,113,422"
JAM,"629,894"
JEY,"802,176"
JOR,"816,586"
JPN,"170,479"
KAZ,"610,697"
KEN,"70,897"
KGZ,"329,341"
KHM,"100,965"
KIR,"38,030"
KNA,"434,512"
KOR,"205,408"
KWT,"440,563"
LAO,"41,240"
LBN,"1,272,098"
LBR,"39,340"
LBY,"596,244"
LCA,"1,123,081"
LIE,"1,450,921"
LKA,"411,789"
LSO,"195,020"
LTU,"1,988,504"
LUX,"1,211,492"
LVA,"1,804,261"
MAC,0
MAF,"922,271"
MAR,"299,272"
MCO,"983,173"
MDA,"2,295,720"
MDG,"29,771"
MDV,"365,789"
MEX,"1,922,617"
MHL,"76,335"
MKD,"2,871,098"
MLI,"22,778"
MLT,"870,142"
MMR,"214,575"
MNE,"2,803,213"
MNG,"333,351"
MNP,"326,179"
MOZ,"41,644"
MRT,"146,997"
MSR,"685,927"
MTQ,"1,409,804"
MUS,"350,324"
MWI,"82,688"
MYS,"562,434"
MYT,0
NAM,"941,924"
NCL,"527,960"
NER,"8,582"
NGA,"10,746"
NIC,"28,340"
NIU,0
NLD,"990,883"
NOR,"337,791"
NPL,"259,841"
NRU,"18,517"
NZL,"118,986"
OMN,"708,595"
OWID_AFR,"119,455"
OWID_ASI,"197,488"
OWID_CYN,0
OWID_ENG,0
OWID_EUN,"1,701,532"
OWID_EUR,"1,666,261"
OWID_HIC,"1,383,395"
OWID_KOS,"1,267,661"
OWID_LIC,"41,683"
OWID_LMC,"249,787"
OWID_NAM,"1,700,148"
OWID_NIR,0
OWID_OCE,"164,913"
OWID_SAM,"2,137,790"
OWID_SCT,0
OWID_UMC,"667,379"
OWID_WLS,0
OWID_WRL,"539,903"
PAK,"92,207"
PAN,"1,423,608"
PCN,0
PER,"4,901,640"
PHL,"313,573"
PLW,"139,515"
PNG,"33,280"
POL,"1,854,014"
PRI,"946,180"
PRK,0
PRT,"1,611,055"
PRY,"1,764,622"
PSE,"711,877"
PYF,"1,261,959"
QAT,"186,068"
REU,0
ROU,"2,074,660"
RUS,"1,513,165"
RWA,"63,221"
SAU,"206,820"
SDN,"66,292"
SEN,"78,149"
SGP,"116,860"
SHN,0
SLB,"75,460"
SLE,"12,105"
SLV,"445,908"
SMR,"2,719,145"
SOM,"49,703"
SPM,"80,034"
SRB,"1,398,303"
SSD,"10,029"
STP,"213,045"
SUR,"1,266,583"
SVK,"2,202,629"
SVN,"2,435,520"
SWE,"1,406,226"
SWZ,"762,006"
SXM,"1,281,498"
SYC,"857,973"
SYR,"90,797"
TCA,"487,840"
TCD,"9,022"
TGO,"20,526"
THA,"210,820"
TJK,"10,759"
TKL,0
TKM,0
TLS,"54,049"
TON,"36,269"
TTO,"1,308,038"
TUN,"1,465,696"
TUR,"715,713"
TUV,0
TWN,0
TZA,"7,024"
UGA,"45,304"
UKR,"1,628,948"
URY,"1,315,203"
USA,"2,048,220"
UZB,"31,364"
VAT,0
VCT,"526,698"
VEN,"128,109"
VGB,"1,024,096"
VIR,"691,884"
VNM,"208,516"
VUT,"13,291"
WLF,"382,114"
WSM,"38,832"
YEM,"43,895"
ZAF,"1,162,468"
ZMB,"128,051"
ZWE,"206,247"
