location,total_deaths_per_million
Afghanistan,128719.111
Africa,119455.82
Albania,851685.161
Algeria,106517.93400000001
American Samoa,231764.288
Andorra,1553348.527
Angola,33695.118
Anguilla,280720.543
Antigua and Barbuda,829725.211
Argentina,2034903.35
Armenia,2001724.17
Aruba,1340732.166
Asia,197488.313
Australia,196082.21600000001
Austria,1486212.883
Azerbaijan,587063.928
Bahamas,1177902.404
Bahrain,706525.461
Bangladesh,114650.172
Barbados,794944.771
Belarus,444022.189
Belgium,2166618.227
Belize,1055716.357
Benin,8717.720000000001
Bermuda,1192237.743
Bhutan,10067.112
Bolivia,1308689.04
Bonaire Sint Eustatius and Saba,753585.711
Bosnia and Herzegovina,3115036.201
Botswana,620517.418
Brazil,2207994.484
British Virgin Islands,1024096.684
Brunei,122796.547
Bulgaria,3279733.792
Burkina Faso,10603.029
Burundi,744.963
Cambodia,100965.003
Cameroon,47921.397
Canada,758292.112
Cape Verde,463794.092
Cayman Islands,192005.481
Central African Republic,16329.904
Chad,9022.076000000001
Chile,1892548.869
China,11114.056
Colombia,1891703.8
Comoros,141022.024
Congo,41193.978
Cook Islands,20138.559
Costa Rica,1055495.054
Cote d'Ivoire,17917.462
Croatia,2421254.302
Cuba,427859.233
Curacao,815737.611
Cyprus,676033.776
Czechia,2643396.74
Democratic Republic of Congo,10254.446
Denmark,640782.941
Djibouti,125566.25600000001
Dominica,428392.686
Dominican Republic,314372.37
Ecuador,1435026.433
Egypt,151613.351
El Salvador,445908.392
England,0.0
Equatorial Guinea,81762.901
Eritrea,14225.769
Estonia,1146342.086
Eswatini,762006.463
Ethiopia,39790.294
Europe,1666261.518
European Union,1701532.809
Faeroe Islands,229625.04400000002
Falkland Islands,0.0
Fiji,485653.998
Finland,503786.776
France,1593897.135
French Guiana,0.0
French Polynesia,1261959.16
Gabon,82509.474
Gambia,91964.795
Georgia,2495570.833
Germany,1174515.978
Ghana,28453.592
Gibraltar,2351225.622
Greece,1672526.774
Greenland,139200.664
Grenada,913111.071
Guadeloupe,1427744.48
Guam,1313703.8260000001
Guatemala,674691.763
Guernsey,491086.232
Guinea,20404.55
Guinea-Bissau,52958.274
Guyana,896235.721
Haiti,48184.827
High income,1383395.639
Honduras,722806.442
Hong Kong,0.0
Hungary,2950943.007
Iceland,216839.35
India,251138.94
Indonesia,354853.404
Iran,1108693.317
Iraq,420524.125
Ireland,1083201.083
Isle of Man,807698.78
Israel,781450.839
Italy,2113422.399
Jamaica,629894.022
Japan,170479.634
Jersey,802176.923
Jordan,816586.699
Kazakhstan,610697.837
Kenya,70897.37
Kiribati,38030.292
Kosovo,1267661.724
Kuwait,440563.486
Kyrgyzstan,329341.421
Laos,41240.515
Latvia,1804261.081
Lebanon,1272098.841
Lesotho,195020.779
Liberia,39340.308
Libya,596244.662
Liechtenstein,1450921.181
Lithuania,1988504.975
Low income,41683.048
Lower middle income,249787.552
Luxembourg,1211492.872
Macao,0.0
Madagascar,29771.049
Malawi,82688.663
